Serie ID;#Season;#Episode;Episode title;Length (minutes);Synopsis
80036140;1;5;Episodio 5;43;Culpan a Brenda del secuestro de Lucrecia. Norman soborna a la persona a cargo de los vídeos de los cajeros para destruir las pruebas. La DEA arresta al capi.
80036140;1;6;Episodio 6;44;Braulio quiere presumir de Brenda y Olivia en la cabalgata. Israel reaparece para hostigar a Renata. El avión del capi lleno de cocaína desaparece.
80036140;1;7;Episodio 7;44;Duber y Erick le juran a Gregorio que Giovanni no tiene conexiones con la mafia. Olivia le confiesa a Brenda que estuvo muy a gusto con Braulio.
80036140;1;8;Episodio 8;42;Olivia se escapa de la casa para cenar con Braulio. Norman recibe una misteriosa nota en la que se hace referencia a su delito.
80036140;1;9;Episodio 9;45;Olivia le cuenta a Brenda que quiere ir a Cartagena con Braulio y sus amigos. Pamela hace planes para entregar a Braulio a la DEA.
80036140;1;10;Episodio 10;44;Arrestan a Giovanni y Violeta cuando están con Duber y Renata. Norman llega a Cartagena, pero se lleva una sorpresa al ver a su esposa allí también.
80036140;1;11;Episodio 11;43;Braulio se despierta y se queda atónito al ver a Olivia completamente desnuda tumbada a su lado. Giovanni comete un grave error con Duber.
80036140;1;12;Episodio 12;43;Leonel piensa castigar duramente a Renata. Violeta le pide a Giovanni que deje de trabajar con Norman. Braulio agasaja a Olivia con regalos y dinero.
80036140;1;13;Episodio 13;43;Braulio descubre quién intentó asesinar a Norman. Gregorio le ruega a Norman que deje ir a Giovanni, pero Norman tiene otros planes.
80036140;1;14;Episodio 14;44;Braulio obliga a Lucrecia y Norman a resolver sus problemas. El padre de Olivia hace que sigan a su hija hasta la casa de Braulio. Brenda y Nicolás comienzan a salir.
80036140;1;15;Episodio 15;43;Pamela le confiesa a Violeta que quiere ver muerto a Erick. Leonel está encantado de trabajar con Norman, sin saber en el lío que se está metiendo.
80036140;1;16;Episodio 16;44;Braulio quiere que Brenda lo acompañe a Miami y le ayude a encontrar a Olivia. Pamela se hace cada vez más amiga de Asdrúbal para protegerse de Erick.
80036140;1;17;Episodio 17;44;Erick se pone celoso cuando descubre que Pamela está saliendo con Asdrúbal. Braulio hace una fiesta cuando aprueban su visado para EE UU. Violeta se enfrenta a Giovanni.
80036140;1;18;Episodio 18;44;Braulio nombra a Leonel como el contable oficial de la organización. Entregan los 100 primeros kilos del producto. Erick vuelve a amenazar a Pamela.
80036140;1;19;Episodio 19;44;Brenda les cuenta a sus padres que tiene un trabajo de canguro en EE UU, pero la verdad es que viaja a Miami con Braulio. Publican las fotos de Giovanni con Violeta.
80036140;1;20;Episodio 20;42;Cuando se entera de que Braulio está en EE UU, la DEA pone en marcha su plan interrogando al capi. Brenda se cae por la borda. Nicolás sale de un bar con Guadalupe.
80036140;1;21;Episodio 21;43;Olivia espera en Miami a que llegue Brenda. Belén le reprocha a Giovanni que sea un narcotraficante. Braulio le hace una pregunta importante a Olivia.
80036140;1;22;Episodio 22;44;Brenda y sus amigas utilizan el escondite de Braulio para hacer una fiesta. Giovanni promete trabajar el doble con el taxi para ganar dinero.
80036140;1;23;Episodio 23;45;El abogado de Braulio anuncia que han levantado la orden de arresto, pero que un topo le está pasando información a la DEA. Braulio sospecha de Brenda.
80036140;1;24;Episodio 24;45;Braulio y Brenda intiman. Renata le dice a su marido que se ha enterado de su aventura con Melisa, la nueva socia del burdel.
80036140;1;25;Episodio 25;43;Leonel interroga a Elmer para ver si Renata quiso asesinar a Melisa. Braulio empieza a sospechar de Olivia. Nicanor, el rival de Braulio, le ofrece un trabajo a Pamela.
80036140;1;26;Episodio 26;43;Brenda le pide a Nicolás que cuide de Guadalupe. Renata hará lo que sea para huir de la furia asesina de Leonel, incluso robarle el dinero.
80036140;1;27;Episodio 27;43;El romance de Brenda con Braulio continúa. Karina se enfrenta a Noelia, la mujer de Norman, a causa de Violeta. Braulio interviene para salvarle la vida a Renata.
80036140;1;28;Episodio 28;43;Nicanor propone proteger a la familia de Pamela, si su padre entrega a Braulio a la DEA. Violeta reflexiona sobre su relación con Giovanni.
80036140;1;29;Episodio 29;43;Un enfurecido Braulio va a la casa de Nicanor en busca de Brenda, solo para encontrarse cara a cara con su rival. Violeta le confiesa a su madre que Norman la violó.
80036140;1;30;Episodio 30;45;Violeta descubre que sus padres han cerrado la tienda. Asdrúbal, Norman y Braulio planean pasar drogas en un submarino y burlar así a las autoridades.
80036140;1;31;Episodio 31;44;Olivia le dice a Braulio que está preparada para casarse. Brenda está desconsolada por haberse enamorado del novio de su mejor amiga. La DEA amenaza al Capi.
80036140;1;32;Episodio 32;43;Los socios de Braulio llegan para inspeccionar el submarino. Giovanni sigue a Norman, hace fotos de la reunión y le pasa toda la información a la DEA.
80036140;1;33;Episodio 33;44;Pamela descubre que Alejandro está casado y la echan de la casa de Nicanor cuando monta una escena. Olivia habla con Brenda acerca de Braulio.
80036140;1;34;Episodio 34;42;Claudio y Lucho discuten sobre la marcha de Renata a Colombia. Arrestan a Lucho en el aeropuerto. Marlon culpa a Renata por perder tres millones de dólares.
80036140;1;35;Episodio 35;44;Norman y Braulio no se ponen de acuerdo sobre si deberían seguir enviando la mercancía, a pesar de que les hayan confiscado los 15.000 kilos del submarino.
80036140;1;36;Episodio 36;44;Renata transporta la droga a Miami haciéndose pasar por una ejecutiva. Olivia le dice a Brenda que es la ganadora por casarse con Braulio, pero que él es quien perdió.
80036140;1;37;Episodio 37;44;El contacto de Renata en Miami cuenta el dinero y le advierte que si algo ocurre con el dinero, ella sufrirá las consecuencias. Nicanor se disculpa con Lucrecia.
80036140;1;38;Episodio 38;43;Braulio visita a Lucrecia, pero acaba peleándose con Nicanor, que amenaza a Brenda. Entretanto en Miami, la policía aparece en la casa de Renata.
80036140;1;39;Episodio 39;45;Braulio y Brenda se marchan al escondite. Gregorio le advierte a Norman que no le haga daño a Giovanni. Braulio y Nicanor llegan a un entendimiento.
80036140;1;40;Episodio 40;44;Renata intenta reconciliarse con sus padres. Brenda está harta de estar escondida y quiere volver a casa. El capi es el cebo de una trampa de la DEA para Norman.
80036140;1;41;Episodio 41;43;Brenda llega a casa de sus padres. Violeta quiere vengarse de Norman. Erick obliga a Renata a transportar droga. La policía estrecha el cerco alrededor de Braulio.
80036140;1;42;Episodio 42;43;Arrestan a Braulio y Olivia. Nicanor ayuda a Lucrecia y Guadalupe a esconderse. Violeta se enfrenta a Giovanni por haber dejado libre a Norman.
80036140;1;43;Episodio 43;44;Violeta le dice a su madre que no quiere volver a ver a Giovanni. Brenda le cuenta a Olivia que Braulio ha mandado asesinar a Gregorio. Erick amenaza de muerte a Renata.
80036140;1;44;Episodio 44;43;Brenda le pide ayuda a Asdrúbal, pero este se la niega. Olivia visita a Braulio en la cárcel. Claudio llega a la casa de Pamela y mata a Sultán de un tiro.
80036140;1;45;Episodio 45;44;La DEA le propone a Brenda que colabore a cambio de protección para su familia. Erick sigue a Pamela para localizar a Claudio, el asesino de Sultán.
80036140;1;46;Episodio 46;43;Brenda le cuenta a Braulio que la DEA quiere que le facilite información sobre él. Brenda y Olivia tienen una discusión por Braulio.
80036140;1;47;Episodio 47;43;Pamela se pone en contacto con Asdrúbal para entregarlo a la policía. Norman exige que Leonel rinda cuentas sobre el dinero que administra.
80036140;1;48;Episodio 48;42;Nicanor incendia la finca de Norman. Pamela entrega a Asdrúbal a la policía. Erick vende a Renata a un burdel para recuperar parte de los 3 millones de dólares perdidos.
80036140;1;49;Episodio 49;42;Una deprimida Renata es obligada a tener relaciones con cualquier hombre. Braulio comienza a construir su imperio en la cárcel. Erick sigue al abogado de Braulio.
80036140;1;50;Episodio 50;42;Norman hace creer a Olivia que está dispuesto a ayudarla, pero sus intenciones son otras. Lucrecia le cuenta a Nicanor que Guadalupe está en la finca.
80036140;1;51;Episodio 51;44;Violeta se quiere reconciliar con Giovanni. Casi atrapan a Asdrúbal. Renata espera no ser elegida una de las chicas que tiene que trabajar en otros países.
80036140;1;52;Episodio 52;42;Norman devuelve el dinero robado a Olivia. Asdrúbal sospecha que Pamela puso micrófonos en los baños de señoras del casino y ordena que la maten.
80036140;1;53;Episodio 53;44;Pamela suplica por su vida. Giovanni culpa a Brenda de verse involucrados en el narcotráfico. Norman urde un plan para que siga la guerra de cárteles.
